iter	Passed	Remaining
791	99421	26110
792	99545	25984
793	99752	25880
794	99880	25755
795	100041	25638
796	100171	25514
797	100333	25397
798	100487	25279
799	100584	25146
800	100700	25017
801	100807	24887
802	100952	24766
803	101104	24647
804	101315	24542
805	101430	24413
806	101561	24289
807	101688	24163
808	101866	24050
809	101998	23925
810	102144	23804
811	102288	23682
812	102440	23562
813	102551	23433
814	102691	23310
815	102810	23182
816	102933	23056
817	103045	22926
818	103171	22800
819	103298	22675
820	103444	22553
821	103609	22436
822	103715	22305
823	103858	22183
824	103917	22043
825	104033	21915
826	104158	21788
827	104321	21670
828	104451	21545
829	104575	21419
830	104700	21292
831	104858	21173
832	104975	21045
833	105112	20921
834	105177	20783
835	105287	20654
836	105392	20524
837	105500	20395
838	105655	20274
839	105734	20139
840	105845	20011
841	105970	19885
842	106149	19769
843	106207	19630
844	106348	19507
845	106523	19390
846	106644	19263
847	106723	19129
848	106850	19004
849	106991	18880
850	107085	18749
851	107216	18624
852	107346	18499
853	107475	18374
854	107591	18246
855	107755	18127
856	107862	17998
857	107962	17867
858	108058	17737
859	108205	17614
860	108325	17488
861	108492	17368
862	108613	17242
863	108743	17117
864	108892	16994
865	109010	16867
866	109164	16746
867	109275	16617
868	109427	16495
869	109577	16373
870	109716	16249
871	109846	16124
872	109966	15997
873	110096	15871
874	110288	15755
875	110416	15629
876	110588	15510
877	110654	15375
878	110787	15250
879	110902	15123
880	111023	14996
881	111150	14870
882	111243	14740
883	111343	14610
884	111459	14483
885	111601	14359
886	111735	14234
887	111833	14105
888	111979	13981
889	112040	13847
890	112149	13719
891	112259	13591
892	112390	13466
893	112522	13341
894	112668	13218
895	112801	13092
896	112939	12968
897	113065	12842
898	113200	12717
899	113329	12592
900	113438	12464
901	113583	12340
902	113737	12217
903	113835	12088
904	113921	11958
905	114045	11832
906	114170	11706
907	114288	11579
908	114382	11450
909	114545	11328
910	114677	11203
911	114806	11077
912	114960	10954
913	115098	10829
914	115200	10701
915	115351	10578
916	115472	10451
917	115596	10325
918	115738	10201
919	115880	10076
920	116002	9950
921	116153	9826
922	116277	9700
923	116452	9578
924	116579	9452
925	116688	9325
926	116798	9197
927	116958	9074
928	117017	8943
929	117162	8818
930	117407	8701
931	117551	8576
932	117707	8452
933	117828	8326
934	117981	8201
935	118072	8073
936	118226	7949
937	118345	7822
938	118440	7694
939	118554	7567
940	118692	7441
941	118749	7311
942	118880	7185
943	119057	7062
944	119138	6933
945	119250	6807
946	119349	6679
947	119406	6549
948	119550	6424
949	119721	6301
950	119841	6174
951	119949	6047
952	120039	5920
953	120118	5791
954	120248	5666
955	120375	5540
956	120531	5415
957	120685	5290
958	120811	5165
959	120873	5036
960	121000	4910
961	121080	4782
962	121187	4656
963	121312	4530
964	121428	4404
965	121520	4277
966	121682	4152
967	121813	4026
968	121967	3901
969	122117	3776
970	122215	3650
971	122314	3523
972	122417	3396
973	122545	3271
974	122641	3144
975	122728	3017
976	122847	2892
977	122978	2766
978	123107	2640
979	123246	2515
980	123369	2389
981	123503	2263
982	123686	2139
983	123834	2013
984	123913	1887
985	124091	1761
986	124244	1636
987	124385	1510
988	124536	1385
989	124634	1258
990	124756	1133
991	124882	1007
992	124983	881
993	125157	755
994	125315	629
995	125487	503
996	125595	377
997	125707	251
998	125834	125
999	125953	0
